index_page,title,state,declaration_string,posted_date,posted_year,report_type,url,filename,local_path,status
20,Sac &amp; Fox Tribe of the Mississippi in Iowa; FEMA-4561-DR,Sac &amp,Fox Tribe of the Mississippi in Iowa; FEMA-4561-DR,2020-10-09T12:00:00Z,2020,MajorDisaster,https://www.fema.gov/sites/default/files/documents/fema.gov_pda-report_fema-4561-dr.pdf,fema.gov_pda-report_fema-4561-dr.pdf,data/pdfs/MajorDisaster/2020/fema.gov_pda-report_fema-4561-dr.pdf,downloaded
20,Louisiana; Severe Storm and Tornadoes - Denial,Louisiana,Severe Storm and Tornadoes - Denial,2020-10-08T12:00:00Z,2020,Denials,https://www.fema.gov/sites/default/files/documents/PDAReport_Denial-LA_0.pdf,PDAReport_Denial-LA_0.pdf,data/pdfs/Denials/2020/PDAReport_Denial-LA_0.pdf,downloaded
20,Puerto Rico; FEMA-4560-DR,Puerto Rico,FEMA-4560-DR,2020-10-08T12:00:00Z,2020,MajorDisaster,https://www.fema.gov/sites/default/files/documents/PDAReport_FEMA4560DR-PR.pdf,PDAReport_FEMA4560DR-PR.pdf,data/pdfs/MajorDisaster/2020/PDAReport_FEMA4560DR-PR.pdf,downloaded
20,Louisiana; FEMA-4559-DR,Louisiana,FEMA-4559-DR,2020-09-25T12:00:00Z,2020,Expedited,https://www.fema.gov/sites/default/files/documents/PDAReport_expedited_FEMA4559DR-LA.pdf,PDAReport_expedited_FEMA4559DR-LA.pdf,data/pdfs/Expedited/2020/PDAReport_expedited_FEMA4559DR-LA.pdf,downloaded
21,California; FEMA-4558-DR,California,FEMA-4558-DR,2020-09-18T12:00:00Z,2020,Expedited,https://www.fema.gov/sites/default/files/documents/PDAReport_expedited_FEMA4558DR-CA.pdf,PDAReport_expedited_FEMA4558DR-CA.pdf,data/pdfs/Expedited/2020/PDAReport_expedited_FEMA4558DR-CA.pdf,downloaded
21,Minnesota; Civil Unrest - Denial of Appeal,Minnesota,Civil Unrest - Denial of Appeal,2020-09-16T12:00:00Z,2020,AppealDenials,https://www.fema.gov/sites/default/files/documents/PDAReport_AppealDenial-MN.pdf,PDAReport_AppealDenial-MN.pdf,data/pdfs/AppealDenials/2020/PDAReport_AppealDenial-MN.pdf,downloaded
21,Iowa; FEMA-4557-DR,Iowa,FEMA-4557-DR,2020-09-15T12:00:00Z,2020,MajorDisaster,https://www.fema.gov/sites/default/files/documents/PDAReport_FEMA4557DR-IA.pdf,PDAReport_FEMA4557DR-IA.pdf,data/pdfs/MajorDisaster/2020/PDAReport_FEMA4557DR-IA.pdf,downloaded
21,Arkansas; FEMA-4556-DR,Arkansas,FEMA-4556-DR,2020-08-07T12:00:00Z,2020,MajorDisaster,https://www.fema.gov/sites/default/files/documents/PDAReport_FEMA4556DR-AR.pdf,PDAReport_FEMA4556DR-AR.pdf,data/pdfs/MajorDisaster/2020/PDAReport_FEMA4556DR-AR.pdf,downloaded
21,Alabama; FEMA-4555-DR,Alabama,FEMA-4555-DR,2020-08-07T12:00:00Z,2020,MajorDisaster,https://www.fema.gov/sites/default/files/documents/PDAReport_FEMA4555DR-AL.pdf,PDAReport_FEMA4555DR-AL.pdf,data/pdfs/MajorDisaster/2020/PDAReport_FEMA4555DR-AL.pdf,downloaded
21,Alabama; FEMA-4554-DR,Alabama,FEMA-4554-DR,2020-08-07T12:00:00Z,2020,MajorDisaster,https://www.fema.gov/sites/default/files/documents/PDAReport_FEMA4554DR-AL.pdf,PDAReport_FEMA4554DR-AL.pdf,data/pdfs/MajorDisaster/2020/PDAReport_FEMA4554DR-AL.pdf,downloaded
21,North Dakota; FEMA-4553-DR,North Dakota,FEMA-4553-DR,2020-08-07T12:00:00Z,2020,MajorDisaster,https://www.fema.gov/sites/default/files/documents/PDAReport_FEMA4553DR-ND.pdf,PDAReport_FEMA4553DR-ND.pdf,data/pdfs/MajorDisaster/2020/PDAReport_FEMA4553DR-ND.pdf,downloaded
21,Missouri; FEMA-4552-DR,Missouri,FEMA-4552-DR,2020-08-07T12:00:00Z,2020,MajorDisaster,https://www.fema.gov/sites/default/files/documents/PDAReport_FEMA4552DR-MO.pdf,PDAReport_FEMA4552DR-MO.pdf,data/pdfs/MajorDisaster/2020/PDAReport_FEMA4552DR-MO.pdf,downloaded
21,Mississippi; FEMA-4551-DR,Mississippi,FEMA-4551-DR,2020-08-07T12:00:00Z,2020,MajorDisaster,https://www.fema.gov/sites/default/files/documents/PDAReport_FEMA4551DR-MS.pdf,PDAReport_FEMA4551DR-MS.pdf,data/pdfs/MajorDisaster/2020/PDAReport_FEMA4551DR-MS.pdf,downloaded
21,Tennessee; FEMA-4550-DR,Tennessee,FEMA-4550-DR,2020-08-07T12:00:00Z,2020,MajorDisaster,https://www.fema.gov/sites/default/files/documents/PDAReport_FEMA4550DR-TN.pdf,PDAReport_FEMA4550DR-TN.pdf,data/pdfs/MajorDisaster/2020/PDAReport_FEMA4550DR-TN.pdf,downloaded
21,Hawaii; FEMA-4549-DR,Hawaii,FEMA-4549-DR,2020-08-07T12:00:00Z,2020,MajorDisaster,https://www.fema.gov/sites/default/files/documents/PDAReport_FEMA4549DR-HI.pdf,PDAReport_FEMA4549DR-HI.pdf,data/pdfs/MajorDisaster/2020/PDAReport_FEMA4549DR-HI.pdf,downloaded
21,Utah; FEMA-4548-DR,Utah,FEMA-4548-DR,2020-08-07T12:00:00Z,2020,MajorDisaster,https://www.fema.gov/sites/default/files/documents/PDAReport_FEMA4548DR-UT.pdf,PDAReport_FEMA4548DR-UT.pdf,data/pdfs/MajorDisaster/2020/PDAReport_FEMA4548DR-UT.pdf,downloaded
21,Michigan; FEMA-4547-DR,Michigan,FEMA-4547-DR,2020-08-07T12:00:00Z,2020,MajorDisaster,https://www.fema.gov/sites/default/files/documents/PDAReport_FEMA4547DR-MI.pdf,PDAReport_FEMA4547DR-MI.pdf,data/pdfs/MajorDisaster/2020/PDAReport_FEMA4547DR-MI.pdf,downloaded
21,Alaska; Structural Fire - Denial of Appeal,Alaska,Structural Fire - Denial of Appeal,2020-07-17T12:00:00Z,2020,AppealDenials,https://www.fema.gov/sites/default/files/documents/PDAReport_AppealDenial-AK.pdf,PDAReport_AppealDenial-AK.pdf,data/pdfs/AppealDenials/2020/PDAReport_AppealDenial-AK.pdf,downloaded
21,"Texas; Severe Storms, Straight-line Winds, and Tornadoes - Denial of Appeal",Texas,"Severe Storms, Straight-line Winds, and Tornadoes - Denial of Appeal",2020-07-09T12:00:00Z,2020,AppealDenials,https://www.fema.gov/sites/default/files/documents/PDAReport_AppealDenial-TX.pdf,PDAReport_AppealDenial-TX.pdf,data/pdfs/AppealDenials/2020/PDAReport_AppealDenial-TX.pdf,downloaded
21,Alabama; FEMA-4546-DR,Alabama,FEMA-4546-DR,2020-06-19T12:00:00Z,2020,MajorDisaster,https://www.fema.gov/sites/default/files/documents/PDAReport_FEMA4546DR-AL.pdf,PDAReport_FEMA4546DR-AL.pdf,data/pdfs/MajorDisaster/2020/PDAReport_FEMA4546DR-AL.pdf,downloaded
21,Seminole Tribe of Florida; FEMA-4545-DR,Seminole Tribe of Florida,FEMA-4545-DR,2020-06-05T12:00:00Z,2020,MajorDisaster,https://www.fema.gov/sites/default/files/documents/PDAReport_FEMA4545DR-STOF.pdf,PDAReport_FEMA4545DR-STOF.pdf,data/pdfs/MajorDisaster/2020/PDAReport_FEMA4545DR-STOF.pdf,downloaded
21,Arkansas; FEMA-4544-DR,Arkansas,FEMA-4544-DR,2020-06-05T12:00:00Z,2020,MajorDisaster,https://www.fema.gov/sites/default/files/documents/PDAReport_FEMA4544DR-AR.pdf,PDAReport_FEMA4544DR-AR.pdf,data/pdfs/MajorDisaster/2020/PDAReport_FEMA4544DR-AR.pdf,downloaded
21,North Carolina; FEMA-4543-DR,North Carolina,FEMA-4543-DR,2020-06-05T12:00:00Z,2020,MajorDisaster,https://www.fema.gov/sites/default/files/documents/PDAReport_FEMA4543DR-NC.pdf,PDAReport_FEMA4543DR-NC.pdf,data/pdfs/MajorDisaster/2020/PDAReport_FEMA4543DR-NC.pdf,downloaded
21,South Carolina; FEMA-4542-DR,South Carolina,FEMA-4542-DR,2020-05-29T12:00:00Z,2020,MajorDisaster,https://www.fema.gov/sites/default/files/documents/PDAReport_FEMA4542DR-SC.pdf,PDAReport_FEMA4542DR-SC.pdf,data/pdfs/MajorDisaster/2020/PDAReport_FEMA4542DR-SC.pdf,downloaded
22,Louisiana; Severe Storms and Tornadoes - Denial,Louisiana,Severe Storms and Tornadoes - Denial,2020-05-29T12:00:00Z,2020,Denials,https://www.fema.gov/sites/default/files/documents/PDAReport_Denial-LA.pdf,PDAReport_Denial-LA.pdf,data/pdfs/Denials/2020/PDAReport_Denial-LA.pdf,downloaded
22,Georgia; Severe Storms and Tornadoes - Denial,Georgia,Severe Storms and Tornadoes - Denial,2020-05-29T12:00:00Z,2020,Denials,https://www.fema.gov/sites/default/files/documents/PDAReport_Denial-GA.pdf,PDAReport_Denial-GA.pdf,data/pdfs/Denials/2020/PDAReport_Denial-GA.pdf,downloaded
22,Tennessee; FEMA-4541-DR,Tennessee,FEMA-4541-DR,2020-05-22T12:00:00Z,2020,MajorDisaster,https://www.fema.gov/sites/default/files/documents/PDAReport_FEMA4541DR-TN.pdf,PDAReport_FEMA4541DR-TN.pdf,data/pdfs/MajorDisaster/2020/PDAReport_FEMA4541DR-TN.pdf,downloaded
22,Kentucky; FEMA-4540-DR,Kentucky,FEMA-4540-DR,2020-05-22T12:00:00Z,2020,MajorDisaster,https://www.fema.gov/sites/default/files/documents/PDAReport_FEMA4540DR-KY_0.pdf,PDAReport_FEMA4540DR-KY_0.pdf,data/pdfs/MajorDisaster/2020/PDAReport_FEMA4540DR-KY_0.pdf,downloaded
22,"Arkansas; Severe Storms, Straight-line Winds, and Tornadoes - Denial of Appeal",Arkansas,"Severe Storms, Straight-line Winds, and Tornadoes - Denial of Appeal",2020-05-22T12:00:00Z,2020,AppealDenials,https://www.fema.gov/sites/default/files/documents/PDAReport_AppealDenial-AR.pdf,PDAReport_AppealDenial-AR.pdf,data/pdfs/AppealDenials/2020/PDAReport_AppealDenial-AR.pdf,downloaded
22,Washington; FEMA-4539-DR,Washington,FEMA-4539-DR,2020-05-22T12:00:00Z,2020,MajorDisaster,https://www.fema.gov/sites/default/files/documents/PDAReport_FEMA4539DR-WA.pdf,PDAReport_FEMA4539DR-WA.pdf,data/pdfs/MajorDisaster/2020/PDAReport_FEMA4539DR-WA.pdf,downloaded
22,Mississippi; FEMA-4538-DR,Mississippi,FEMA-4538-DR,2020-05-22T12:00:00Z,2020,MajorDisaster,https://www.fema.gov/sites/default/files/documents/PDAReport_FEMA4538DR-MS.pdf,PDAReport_FEMA4538DR-MS.pdf,data/pdfs/MajorDisaster/2020/PDAReport_FEMA4538DR-MS.pdf,downloaded
22,American Samoa; FEMA-4537-DR,American Samoa,FEMA-4537-DR,2020-05-15T12:00:00Z,2020,MajorDisaster,https://www.fema.gov/sites/default/files/documents/PDAReport_FEMA4537DR-AS.pdf,PDAReport_FEMA4537DR-AS.pdf,data/pdfs/MajorDisaster/2020/PDAReport_FEMA4537DR-AS.pdf,downloaded
22,Mississippi; FEMA-4536-DR,Mississippi,FEMA-4536-DR,2020-05-15T12:00:00Z,2020,MajorDisaster,https://www.fema.gov/sites/default/files/documents/PDAReport_FEMA4536DR-MS.pdf,PDAReport_FEMA4536DR-MS.pdf,data/pdfs/MajorDisaster/2020/PDAReport_FEMA4536DR-MS.pdf,downloaded
22,Wyoming; FEMA-4535-DR,Wyoming,FEMA-4535-DR,2020-05-08T12:00:00Z,2020,MajorDisaster,https://www.fema.gov/sites/default/files/documents/PDAReport_FEMA4535DR-WY.pdf,PDAReport_FEMA4535DR-WY.pdf,data/pdfs/MajorDisaster/2020/PDAReport_FEMA4535DR-WY.pdf,downloaded
22,Idaho; FEMA-4534-DR,Idaho,FEMA-4534-DR,2020-05-08T12:00:00Z,2020,MajorDisaster,https://www.fema.gov/sites/default/files/documents/PDAReport_FEMA4534DR-ID.pdf,PDAReport_FEMA4534DR-ID.pdf,data/pdfs/MajorDisaster/2020/PDAReport_FEMA4534DR-ID.pdf,downloaded
22,Alaska; FEMA-4533-DR,Alaska,FEMA-4533-DR,2020-05-08T12:00:00Z,2020,MajorDisaster,https://www.fema.gov/sites/default/files/documents/PDAReport_FEMA4533DR-AK.pdf,PDAReport_FEMA4533DR-AK.pdf,data/pdfs/MajorDisaster/2020/PDAReport_FEMA4533DR-AK.pdf,downloaded
22,Vermont; FEMA-4532-DR,Vermont,FEMA-4532-DR,2020-05-07T12:00:00Z,2020,MajorDisaster,https://www.fema.gov/sites/default/files/documents/PDAReport_FEMA4532DR-VT.pdf,PDAReport_FEMA4532DR-VT.pdf,data/pdfs/MajorDisaster/2020/PDAReport_FEMA4532DR-VT.pdf,downloaded
22,Minnesota; FEMA-4531-DR,Minnesota,FEMA-4531-DR,2020-05-06T12:00:00Z,2020,MajorDisaster,https://www.fema.gov/sites/default/files/documents/PDAReport_FEMA4531DR-MN.pdf,PDAReport_FEMA4531DR-MN.pdf,data/pdfs/MajorDisaster/2020/PDAReport_FEMA4531DR-MN.pdf,downloaded
22,Oklahoma; FEMA-4530-DR,Oklahoma,FEMA-4530-DR,2020-05-04T12:00:00Z,2020,MajorDisaster,https://www.fema.gov/sites/default/files/documents/PDAReport_FEMA4530DR-OK.pdf,PDAReport_FEMA4530DR-OK.pdf,data/pdfs/MajorDisaster/2020/PDAReport_FEMA4530DR-OK.pdf,downloaded
